,Time_1,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,acc,direction_change,theta,smooth_theta,dt,gryo_readings,complementary_theta
329,6.546440792,-0.9812095642,0.8870553589,9.983788605,0.0568978712,0.09499998391,0.02466321364,-1.475097656,-26.71589661,-34.23388672,10.07103144310247,0,266.8396665965625,179.39263860077287,0.019900999999999947,359.99284164855925,165.4583724893321
330,6.566341792,-0.9101074219,1.231788483,9.748627625,0.0901292339,0.06330282986,0.04418870434,-0.3312988281,-22.94140625,-40.55123901,9.868198364299436,0,269.1726442123587,179.1137356231168,0.019900999999999947,359.99284164855925,165.7314797520078
331,6.586242792,-0.7918533325,1.36905304,9.451495514,0.09672261029,-0.01678998768,0.03552999347,0.8605957031,-21.40380859,-40.08764648,9.58290693775572,0,272.3024853566849,178.78986502727142,0.019900999999999947,359.99284164855925,165.99264745751307
332,6.606142792,-0.5748046875,1.55975647,9.471254425,0.1026777551,-0.03441083059,0.03319560736,-0.1824645996,-25.41133118,-33.26300049,9.616023141484265,0,269.5885980263567,178.68429071567323,0.019899999999999807,359.99284164855925,166.2464803226763
333,6.626043792,-0.3041674805,1.638642426,9.472451935,0.08967147022,-0.03111325763,0.04379717261,-12.55953979,-44.59191895,-54.38058472,9.61795261567482,0,254.2698572330971,178.567293074275,0.019900999999999947,359.99284164855925,166.49289657770825
334,6.645944792,-0.06616241455,1.264720001,9.618847504,0.09863860905,-0.01205018349,0.05596578121,-10.88830566,-40.55970764,-59.77838135,9.70186175181009,0,254.97316262904477,178.1096387279356,0.019900999999999947,359.99284164855925,166.72523142071282
335,6.665845792,-0.1016386414,0.9798623657,9.651629333,0.1204432696,0.02510826476,0.05333373696,-10.84692383,-41.71595764,-54.58435059,9.70177352089642,0,255.42478696545322,177.77364306089814,0.019900999999999947,359.99284164855925,166.94619965351652
336,6.685746792,-0.3754193115,0.8485853577,9.398206329,0.1164007559,0.04212380573,0.0293010883,-12.40914917,-45.09684753,-50.93206787,9.443903799340909,0,254.6148712741168,177.6810287975968,0.019900999999999947,359.99284164855925,167.16089623639814
337,6.705647917,-0.5472619629,0.8009843445,9.215286713,0.1027953327,0.08254703134,0.002340609208,-11.8727417,-43.69818115,-57.17266846,9.266206385515355,0,254.79974523022582,177.43853031158469,0.01990112500000052,359.99284164855925,167.3664489179019
338,6.725548917,-0.6167175293,0.9907896423,8.861721954,0.03428215533,0.06379128993,-0.002134728944,-9.745513916,-41.14422607,-59.60552979,8.93823923467259,0,256.67437590006966,176.98725892819505,0.019900999999999947,359.99284164855925,167.55886511810775
339,6.745449917,-0.8761280823,0.8578660583,8.740174713,-0.05818621814,0.05723669752,0.02148977295,-11.03128052,-43.8109436,-53.00827026,8.825768442710384,0,255.86711941737195,176.73557201884097,0.019900999999999947,359.99284164855925,167.7423992561224
340,6.765350917,-0.6412664795,1.635349274,9.154812469,-0.1005035788,0.08627900481,0.05514147505,-12.79321289,-45.14674377,-52.58270264,9.321812124703037,0,254.17888471293426,176.69577446806355,0.019900999999999947,359.99284164855925,167.92146676036123
341,6.785251917,-0.8734336853,1.690285034,9.418264618,-0.126459077,0.09712822735,0.09925287217,-10.2300415,-42.16455078,-58.8052063,9.608520089662706,0,256.3623117650267,176.23246051484566,0.019900999999999947,359.99284164855925,168.08768663545092
