rssi_1,rssi_2,distance_rssi_1,distance_rssi_2
-70,-80,1.6246423877085616,5.3682179511957475
-70,-80,1.624036254224786,5.36008923615419
-71,-80,1.623451168157143,5.351993040224015
-71,-80,1.6228862100773285,5.343929868428738
-71,-80,1.622340612000319,5.335900714081456
-71,-80,1.6218136076571392,5.327906564420412
-71,-80,1.6213044324063355,5.319947298210688
-71,-80,1.6208123604697426,5.312022550221292
-72,-80,1.6203367047964636,5.3041319573033325
-72,-80,1.6198769288330268,5.296275890078713
-72,-80,1.619432347940856,5.28845471689144
-71,-80,1.6190022413799885,5.280668803836544
-71,-79,1.6185858895642273,5.27291839337585
-71,-79,1.618182499478812,5.265203726491372
-71,-79,1.6177912792135258,5.257524800588718
-71,-79,1.6174108420252709,5.249881613044359
-71,-79,1.6170397282351472,5.2422741612104895
-71,-79,1.6166764796765911,5.23470268348704
-71,-79,1.6163196396180473,5.227167898311337
-71,-79,1.6159677526987488,5.219671361288886
-71,-79,1.6156192904756475,5.21221425908252
-71,-82,1.6152722795349523,5.2047981311648295
-71,-82,1.6149247481666589,5.19742450834286
-71,-82,1.6145748007127834,5.190094912887751
-70,-82,1.6142203201537164,5.182810381314286
-70,-82,1.6138594886437705,5.175571944540495
-70,-86,1.6134901928124794,5.168381104011887
-68,-86,1.6131103213418538,5.161239353145597
-68,-82,1.6127177650911277,5.1541477027645595
-68,-82,1.6123107142476938,5.147107158558907
-68,-82,1.6118873611961204,5.140119194617115
-68,-82,1.6114466427897427,5.133184331991836
-68,-82,1.6109874975977907,5.12630320753744
-78,-86,1.6105092368574776,5.11947692682986
-78,-86,1.61001124745072,5.112706590229039
-78,-86,1.609493770127886,5.105993175439856
-82,-86,1.6089571942568448,5.099337890661356
-82,-85,1.6084019093999802,5.092740648748685
-82,-85,1.6078283422911819,5.086201363899635
-85,-85,1.6072370307399728,5.0797199516575775
-85,-85,1.606628512392479,5.073296095280492
-84,-84,1.6060034356128006,5.066929363880321
-84,-82,1.6053624483114386,5.060619096600958
-84,-82,1.6047062717802327,5.054364636784476
-84,-85,1.6040357004759727,5.048165680624688
-84,-85,1.6033515279600508,5.042020997919465
-84,-81,1.6026544730250047,5.035928901484742
-84,-81,1.6019452535655674,5.029888407991031
-83,-86,1.6012245496536308,5.023899117982978
-83,-86,1.6004934089501301,5.017960634656371
-83,-86,1.5997529511198942,5.01207325627057
-83,-86,1.5990042939580218,5.006237280448623
-83,-78,1.5982481853187345,5.000452083099419
-83,-78,1.5974853349912197,4.994717043799635
-83,-78,1.5967164515210681,4.989031201109754
-83,-78,1.5959422421821348,4.983393369215034
-83,-78,1.595163376221531,4.977802368363792
-82,-78,1.5943804849278589,4.9722570247628015
-82,-78,1.5935941617037535,4.966756856658236
-82,-78,1.5928049254664065,4.961301385038516
-81,-78,1.5920132574757146,4.955890475938464
-81,-78,1.5912204441185065,4.9505239965793875
-81,-78,1.5904276959891543,4.945201815363699
-81,-90,1.5896362212731678,4.9399248255831845
-81,-78,1.588847298921397,4.93469255385656
-81,-78,1.5880623881829605,4.9295052104925166
-81,-78,1.5872829454393915,4.924362098474036
-81,-78,1.5865099128177549,4.919262637611862
-81,-77,1.5857444497429867,4.914206137598999
-80,-77,1.5849866551071472,4.909191911581492
-80,-77,1.584236627702932,4.904219614875962
-80,-77,1.5834944662287693,4.89928890478266
-80,-77,1.5827604150715568,4.894399215166304
-80,-75,1.5820347182668262,4.889550433065366
-80,-75,1.5813176195117278,4.884742783960492
-80,-75,1.5806092893886412,4.879976155930218
-80,-75,1.5799101529489097,4.875250438077575
-80,-75,1.5792206346264879,4.870566305568165
-80,-75,1.5785411219163346,4.8659244315900265
-80,-83,1.5778719291463776,4.861324703863691
-80,-83,1.5772133702879125,4.856767905846519
-76,-83,1.5765654685627735,4.8522548187523205
-76,-83,1.575928174774387,4.847786221626341
-76,-83,1.5753013311814512,4.843362891421658
-76,-83,1.5746849255171802,4.838985268811466
-76,-83,1.5740790182112034,4.83465368240797
-76,-83,1.5734837422521006,4.830368126856644
-76,-83,1.572899447926601,4.826127819834828
-76,-83,1.5723264852081795,4.82193176058335
-76,-75,1.5717652037822911,4.817778065195163
-74,-75,1.5712157721795248,4.813664413672474
-74,-75,1.5706784312751165,4.809588162391882
-74,-77,1.5701534218730688,4.805546898576337
-81,-77,1.5696413100062896,4.801538218059038
-81,-77,1.5691425889997965,4.7975597251174245
-81,-77,1.5686578241091171,4.793609142696089
-74,-77,1.5681873635845611,4.789684201526316
-74,-77,1.567731555627909,4.785784843936043
-74,-77,1.5672909288661878,4.7819111227664575
-71,-77,1.566866480767947,4.778063090908645
-71,-80,1.566458919635478,4.774241680755746
-71,-80,1.566068917490996,4.770447821963402
-71,-83,1.5656970741466107,4.7666827707750645
-71,-83,1.5653438452763642,4.762947450762643
-71,-80,1.565009578677239,4.759240043302723
-88,-80,1.5646952350021501,4.75555873574371
-88,-83,1.564401774858974,4.751903362553875
-88,-83,1.5641302309674987,4.748273758960299
-86,-83,1.5638814921758872,4.744670744192105
-86,-83,1.5636561596951957,4.74109480775425
-86,-80,1.5634549074162805,4.737545456184968
-86,-83,1.563278481961159,4.734022524793926
-86,-83,1.5631276307696964,4.730526067504364
-86,-78,1.563003138210215,4.727055594135107
-86,-78,1.5629057897059213,4.7236107249789745
-86,-83,1.5628375234106846,4.720191516443223
-86,-83,1.5628002786924158,4.71679802503456
-86,-83,1.5627959965063372,4.713431067079029
-86,-83,1.5628266197925775,4.710091456857444
-86,-83,1.5628940938980698,4.706778489367236
-86,-82,1.5630004030123377,4.703491353591977
-86,-75,1.5631475346625445,4.700227834118144
-86,-75,1.5633374442217904,4.696985721920139
-73,-80,1.5635715873798424,4.693763354645117
-73,-80,1.5638518564718549,4.690559290661446
-73,-80,1.5641800050830568,4.687371228951538
-74,-84,1.564557972669669,4.684196443411995
-74,-84,1.5649877772443508,4.681032215377294
-74,-84,1.5654715521597042,4.677876695247607
